name,address,lat,lng,limited_time,open_hours,rest_days,midnight,pudding,basque,tiramisu,dessert,salty_food,café,alcohol,study,chat,photo,pet,wifi,
祖厝咖啡·gugucoffee,中壢區吉安街21號,24.949056,121.2286269,0,週三公休,,,,,,,,,,,,,,,
"""義點茶複合式餐飲",桃園市中壢區龍東路33號,24.9285619,121.249845,0,,,,,,,,,,,,,,,,
豐滿 總匯三明治 桃園站前店,桃園市桃園區武陵里長壽街4號,24.9891266,121.3126507,,,,,,,,,,,,,,,,,
引號inhowcafe,龜山區山鶯路22號,24.9912784,121.3229374,,10:30-22:00,,,,,,,,,,,,,,,
卡爾地咖啡館,桃園市桃園區大華五街27號,25.0020788,121.3080733,,,,,,,,,,,,,,,,,
貳拾穗咖啡,桃園市桃園區樹仁三街145-3號,24.9739842,121.3197976,0,,,,,,,,,,,,,,,,
老窩咖啡桃鶯店,桃園市桃園區桃鶯路384-6號,24.9768771,121.3227558,,,,,,,,,,,,,,,,,
歸 Return - 咖啡、餐食,桃園市桃園區中山北路198號,24.996991,121.30326,,,,,,,,,,,,,,,,,
路易莎,八德區興豐路416號,24.9296469,121.289132,,,,,,,,,,,,,,,,,
Cerro希羅精品咖啡,桃園區同德五街218號,25.0133652,121.2970603,0,,,,,,,,,,,,,,,,
客廳 coffee House,桃園市楊梅區自立街19號,24.9112117,121.1496602,,,,,,,,,,,,,,,,,
Habbit coffee,桃園市中壢區五族二街115號,24.9589005,121.20577,,,,,,,,,,,,,,,,,
諦風咖啡,320桃園市中壢區建國北路9號,24.9568651,121.2259943,,,,,,,,,,,,,,,,,
Mr.Coffee Grano格蕾諾,桃園市桃園區大興路288號,25.016492,121.3153047,,,,,,,,,,,,,,,,,
Lai cafe 賴在家咖啡,桃園市大園區青昇路一段48巷28號,25.0137274,121.2241445,0,,,,,,,,,,,,,,,,
秋穗,桃園市桃園區慈光街164巷16號,25.0080035,121.3008942,,,,,,,,,,,,,,,,,
著手咖啡桃園店,桃園市中壢區成功路135號,24.9763566,121.259783,,,,,,,,,,,,,,,,,
八塊畫室,桃園縣八德市長興路46號,24.9304575,121.2834603,,,,,,,,,,,,,,,,,
NxCoffee,330桃園市桃園區成功路三段1號,24.9979319,121.3238037,,,,,,,,,,,,,,,,,
at  CAFE,桃園市中壢區慈惠三街 157巷14號,24.9640218,121.2250416,0,,,,,,,,,,,,,,,,
米諾咖啡館,桃園縣大溪鎮僑愛一街6巷15號,24.9213039,121.2927622,,,,,,,,,,,,,,,,,
日不落咖啡,中壢區慈惠三街148號,24.964721,121.225985,,,,,,,,,,,,,,,,,
幸福53咖啡,桃園市八德區建安街53號,24.9509359,121.319856,,,,,,,,,,,,,,,,,
方亭咖啡 - 中壢興國店,桃園市中壢區興國路77號1樓,24.9596486,121.2207488,,,,,,,,,,,,,,,,,
菲拉帖啡,桃園巿桃園區國際路二段555號,25.0058827,121.2859379,0,,,,,,,,,,,,,,,,
有間咖啡工作室,"桃園市楊梅區福羚路232巷30弄3號(三合院內)""",24.9065001,121.1824091,0,,,,,,,,,,,,,,,,
弎咖 θRICA CAFE,桃園市中壢區文化二路305號,24.9785616,121.2501768,,,,,,,,,,,,,,,,,
老窩咖啡 桃園中山東店,桃園市桃園區中山東路32之13號,24.9959914,121.3152797,,,,,,,,,,,,,,,,,
穀穀咖啡,桃園市龜山區文德路82號,25.0576435,121.3823179,0,10:00-19:00,,,,,,,,,,,,,,,
迴憶咖啡,桃園縣中壢市延平路廟前31號,24.9633632,121.2329092,,10:00~21:00,,,,,,,,,,,,,,,
Backdoor Cafe,"桃園市中壢區中央路216巷9號""",24.9644899,121.1911852,0,,,,,,,,,,,,,,,,
油田咖啡,桃園市八德區介壽路二段393號,24.9473143,121.2975659,,,,,,,,,,,,,,,,,
黑色公寓藝文咖啡,桃園市楊梅區新農街4巷10號,24.908817,121.146087,,,,,,,,,,,,,,,,,
鹿點咖啡,桃園市中壢區建國北路15號,24.9569229,121.2261042,,11:00~21:00，無公休,,,,,,,,,,,,,,,
珀舍 Perse,桃園市中壢區興仁路一段168號,,,0,12:00–18:00,店休日請見instagram,0,1,1,1,1,0,1,0,1,1,1,0,1,0
壹樓邊緣 First Story to Edge,桃園市中壢區興仁路二段27巷17弄31衖16號,,,1,21:00–02:00,Sat.,1,0,1,0,1,1,1,1,0,1,0,0,1,
Y.J COFFEE 玉津咖啡-中壢環中店,桃園市中壢區自信里環中東路192號,,,,平日07:15-21:00 / 假日08:00-21:00,,0,0,0,1,1,1,1,0,1,1,1,0,1,
